representation,response,parameter,estimate,se,z,p,sig
acoustic_F1_lob,F1_lob,Intercept,0.0035,0.0338,0.1028,0.9181,False
acoustic_F1_lob,F1_lob,is_L2,-0.0002,0.0378,-0.0054,0.9957,False
acoustic_F1_lob,F1_lob,is_male,-0.0084,0.0384,-0.2185,0.827,False
acoustic_F1_lob,F1_lob,is_L2:is_male,0.0019,0.0542,0.0343,0.9726,False
acoustic_F2_lob,F2_lob,Intercept,0.0305,0.0335,0.9106,0.3625,False
acoustic_F2_lob,F2_lob,is_L2,-0.0093,0.0375,-0.2478,0.8043,False
acoustic_F2_lob,F2_lob,is_male,-0.0001,0.0381,-0.0027,0.9978,False
acoustic_F2_lob,F2_lob,is_L2:is_male,-0.0227,0.0537,-0.4234,0.672,False
whisper_L2,PC1,Intercept,1.5579,0.2251,6.9225,0.0,True
whisper_L2,PC1,is_L2,0.2221,0.2517,0.8827,0.3774,False
whisper_L2,PC1,is_male,-0.0702,0.2553,-0.2748,0.7835,False
whisper_L2,PC1,is_L2:is_male,-0.01,0.3589,-0.0279,0.9777,False
whisper_L2,PC2,Intercept,-2.2184,0.3915,-5.6658,0.0,True
whisper_L2,PC2,is_L2,-0.4055,0.4378,-0.9261,0.3544,False
whisper_L2,PC2,is_male,0.3123,0.4442,0.7031,0.482,False
whisper_L2,PC2,is_L2:is_male,0.3346,0.6242,0.536,0.5919,False
whisper_L2,PC3,Intercept,2.6812,0.8058,3.3275,0.0009,True
whisper_L2,PC3,is_L2,-2.052,0.9009,-2.2777,0.0227,True
whisper_L2,PC3,is_male,1.3286,0.9137,1.454,0.1459,False
whisper_L2,PC3,is_L2:is_male,-0.4921,1.2833,-0.3834,0.7014,False
whisper_L2,PC4,Intercept,1.4731,0.26,5.6651,0.0,True
whisper_L2,PC4,is_L2,1.3406,0.2908,4.6097,0.0,True
whisper_L2,PC4,is_male,0.2166,0.2951,0.7342,0.4628,False
whisper_L2,PC4,is_L2:is_male,-0.4923,0.4149,-1.1865,0.2354,False
whisper_L2,PC5,Intercept,-0.5348,0.7644,-0.6997,0.4841,False
whisper_L2,PC5,is_L2,-1.9396,0.8546,-2.2695,0.0232,True
whisper_L2,PC5,is_male,1.6794,0.8668,1.9375,0.0527,False
whisper_L2,PC5,is_L2:is_male,-0.2742,1.2174,-0.2252,0.8218,False
whisper_L5,PC1,Intercept,-2.4593,0.1432,-17.1697,0.0,True
whisper_L5,PC1,is_L2,-0.515,0.1603,-3.2135,0.0013,True
whisper_L5,PC1,is_male,-0.1394,0.1627,-0.8567,0.3916,False
whisper_L5,PC1,is_L2:is_male,0.2406,0.2291,1.0501,0.2937,False
whisper_L5,PC2,Intercept,-0.3384,0.1489,-2.2726,0.0231,True
whisper_L5,PC2,is_L2,0.0001,0.1666,0.0003,0.9997,False
whisper_L5,PC2,is_male,-0.0385,0.1692,-0.2272,0.8202,False
whisper_L5,PC2,is_L2:is_male,0.0574,0.2386,0.2406,0.8099,False
whisper_L5,PC3,Intercept,-3.1985,0.2276,-14.0534,0.0,True
whisper_L5,PC3,is_L2,-0.3031,0.2546,-1.1904,0.2339,False
whisper_L5,PC3,is_male,-0.5062,0.2584,-1.959,0.0501,False
whisper_L5,PC3,is_L2:is_male,0.2847,0.3637,0.7826,0.4339,False
whisper_L5,PC4,Intercept,-1.7597,0.1732,-10.1615,0.0,True
whisper_L5,PC4,is_L2,0.3348,0.1938,1.7275,0.0841,False
whisper_L5,PC4,is_male,-0.1435,0.1967,-0.7293,0.4658,False
whisper_L5,PC4,is_L2:is_male,-0.1295,0.2772,-0.4672,0.6403,False
whisper_L5,PC5,Intercept,-0.1971,0.1416,-1.3923,0.1638,False
whisper_L5,PC5,is_L2,0.0466,0.1585,0.2938,0.7689,False
whisper_L5,PC5,is_male,0.0403,0.161,0.2505,0.8022,False
whisper_L5,PC5,is_L2:is_male,0.1681,0.227,0.7407,0.4588,False
xlsr_L3,PC1,Intercept,-4.2628,0.4159,-10.2487,0.0,True
xlsr_L3,PC1,is_L2,0.0098,0.4651,0.021,0.9832,False
xlsr_L3,PC1,is_male,0.1969,0.4719,0.4172,0.6765,False
xlsr_L3,PC1,is_L2:is_male,-0.2032,0.6632,-0.3063,0.7593,False
xlsr_L3,PC2,Intercept,4.5299,0.3284,13.7934,0.0,True
xlsr_L3,PC2,is_L2,-0.4912,0.3673,-1.3375,0.1811,False
xlsr_L3,PC2,is_male,0.7075,0.3726,1.8989,0.0576,False
xlsr_L3,PC2,is_L2:is_male,0.4071,0.5238,0.7772,0.4371,False
xlsr_L3,PC3,Intercept,1.3553,0.3595,3.7703,0.0002,True
xlsr_L3,PC3,is_L2,-0.5118,0.402,-1.2733,0.2029,False
xlsr_L3,PC3,is_male,-0.4162,0.4077,-1.0208,0.3073,False
xlsr_L3,PC3,is_L2:is_male,0.7348,0.5729,1.2828,0.1996,False
xlsr_L3,PC4,Intercept,0.1987,0.4192,0.4739,0.6355,False
xlsr_L3,PC4,is_L2,0.0985,0.4687,0.2102,0.8335,False
xlsr_L3,PC4,is_male,-0.7113,0.4754,-1.4961,0.1346,False
xlsr_L3,PC4,is_L2:is_male,0.0925,0.668,0.1385,0.8898,False
xlsr_L3,PC5,Intercept,0.9865,0.5465,1.8051,0.0711,False
xlsr_L3,PC5,is_L2,-0.9924,0.6111,-1.6239,0.1044,False
xlsr_L3,PC5,is_male,-2.7996,0.6199,-4.5163,0.0,True
xlsr_L3,PC5,is_L2:is_male,1.4769,0.871,1.6957,0.0899,False
xlsr_L12,PC1,Intercept,-3.0546,1.0014,-3.0503,0.0023,True
xlsr_L12,PC1,is_L2,0.878,1.1197,0.7842,0.4329,False
xlsr_L12,PC1,is_male,0.4443,1.1357,0.3912,0.6956,False
xlsr_L12,PC1,is_L2:is_male,-0.2565,1.5955,-0.1607,0.8723,False
xlsr_L12,PC2,Intercept,1.5449,0.3488,4.4287,0.0,True
xlsr_L12,PC2,is_L2,-0.2231,0.3902,-0.5717,0.5675,False
xlsr_L12,PC2,is_male,-0.5532,0.396,-1.397,0.1624,False
xlsr_L12,PC2,is_L2:is_male,0.3735,0.5571,0.6704,0.5026,False
xlsr_L12,PC3,Intercept,5.6031,0.451,12.4232,0.0,True
xlsr_L12,PC3,is_L2,-0.2218,0.5043,-0.4399,0.66,False
xlsr_L12,PC3,is_male,-0.2081,0.5115,-0.4068,0.6842,False
xlsr_L12,PC3,is_L2:is_male,0.4225,0.7187,0.5879,0.5566,False
xlsr_L12,PC4,Intercept,-0.3541,0.3557,-0.9955,0.3195,False
xlsr_L12,PC4,is_L2,-0.5723,0.3978,-1.4387,0.1502,False
xlsr_L12,PC4,is_male,-0.8286,0.4036,-2.0529,0.0401,True
xlsr_L12,PC4,is_L2:is_male,0.027,0.5674,0.0477,0.962,False
xlsr_L12,PC5,Intercept,-1.4147,0.4271,-3.3119,0.0009,True
xlsr_L12,PC5,is_L2,-0.0168,0.4777,-0.0352,0.972,False
xlsr_L12,PC5,is_male,-1.1801,0.4846,-2.4352,0.0149,True
xlsr_L12,PC5,is_L2:is_male,0.0699,0.6812,0.1026,0.9183,False
xlsr_L21,PC1,Intercept,-9.4667,9.2588,-1.0225,0.3066,False
xlsr_L21,PC1,is_L2,22.0383,10.3518,2.1289,0.0333,True
xlsr_L21,PC1,is_male,6.7805,10.4987,0.6458,0.5184,False
xlsr_L21,PC1,is_L2:is_male,-7.0112,14.7446,-0.4755,0.6344,False
xlsr_L21,PC2,Intercept,-1.5346,0.5613,-2.734,0.0063,True
xlsr_L21,PC2,is_L2,1.1438,0.6276,1.8226,0.0684,False
xlsr_L21,PC2,is_male,1.028,0.6365,1.6151,0.1063,False
xlsr_L21,PC2,is_L2:is_male,-1.3998,0.894,-1.5659,0.1174,False
xlsr_L21,PC3,Intercept,0.46,0.1235,3.7259,0.0002,True
xlsr_L21,PC3,is_L2,-0.2484,0.1381,-1.7994,0.0719,False
xlsr_L21,PC3,is_male,0.2943,0.1401,2.1015,0.0356,True
xlsr_L21,PC3,is_L2:is_male,0.2538,0.1968,1.2892,0.1973,False
xlsr_L21,PC4,Intercept,-0.0936,0.3026,-0.3094,0.757,False
xlsr_L21,PC4,is_L2,-0.3361,0.3383,-0.9936,0.3204,False
xlsr_L21,PC4,is_male,0.1819,0.3431,0.53,0.5961,False
xlsr_L21,PC4,is_L2:is_male,0.5136,0.4819,1.0657,0.2866,False
xlsr_L21,PC5,Intercept,-1.5836,0.151,-10.4887,0.0,True
xlsr_L21,PC5,is_L2,0.3508,0.1688,2.0781,0.0377,True
xlsr_L21,PC5,is_male,0.526,0.1712,3.072,0.0021,True
xlsr_L21,PC5,is_L2:is_male,-0.1782,0.2406,-0.7406,0.4589,False
