representation,phoneme,estimate,ci_lo,ci_hi,rope_lo,rope_hi,classification
acoustic_F1_lob,a,0.0199,-0.105,0.1654,-0.2,0.2,equivalent
acoustic_F2_lob,a,0.0772,-0.0196,0.1689,-0.2,0.2,equivalent
acoustic_F1_lob,e,0.0463,-0.1313,0.1928,-0.2,0.2,equivalent
acoustic_F2_lob,e,0.0575,-0.1241,0.2297,-0.2,0.2,indeterminate
acoustic_F1_lob,i,0.0138,-0.1595,0.1921,-0.2,0.2,equivalent
acoustic_F2_lob,i,-0.0229,-0.1099,0.0763,-0.2,0.2,equivalent
acoustic_F1_lob,o,-0.0408,-0.2115,0.1215,-0.2,0.2,indeterminate
acoustic_F2_lob,o,-0.0206,-0.2251,0.1884,-0.2,0.2,indeterminate
acoustic_F1_lob,u,0.1688,0.0359,0.2892,-0.2,0.2,indeterminate
acoustic_F2_lob,u,-0.1901,-0.3221,-0.0758,-0.2,0.2,indeterminate
acoustic_F1_lob,y,0.2311,-0.0023,0.466,-0.2,0.2,indeterminate
acoustic_F2_lob,y,0.1843,-0.0133,0.3728,-0.2,0.2,indeterminate
acoustic_F1_lob,ø,-0.1296,-0.3297,0.0527,-0.2,0.2,indeterminate
acoustic_F2_lob,ø,0.0231,-0.1774,0.2495,-0.2,0.2,indeterminate
acoustic_F1_lob,ɑ,-0.3861,-0.8466,0.0077,-0.2,0.2,indeterminate
acoustic_F2_lob,ɑ,-0.2361,-0.4258,-0.0622,-0.2,0.2,indeterminate
acoustic_F1_lob,ə,-0.393,-0.8097,0.0704,-0.2,0.2,indeterminate
acoustic_F2_lob,ə,0.087,-0.169,0.3399,-0.2,0.2,indeterminate
acoustic_F1_lob,ɛ,0.1811,-0.021,0.3793,-0.2,0.2,indeterminate
acoustic_F2_lob,ɛ,0.1676,-0.0237,0.3696,-0.2,0.2,indeterminate
whisper_L2,a,0.0074,0.0052,0.0134,0.0,0.0697,equivalent
whisper_L2,e,0.0106,0.0087,0.0191,0.0,0.0697,equivalent
whisper_L2,i,0.006,0.0045,0.0122,0.0,0.0697,equivalent
whisper_L2,o,0.0118,0.01,0.0241,0.0,0.0697,equivalent
whisper_L2,u,0.0072,0.0061,0.0126,0.0,0.0697,equivalent
whisper_L2,y,0.0072,0.0063,0.0125,0.0,0.0697,equivalent
whisper_L2,ø,0.0153,0.0113,0.0292,0.0,0.0697,equivalent
whisper_L2,ɑ,0.0138,0.0103,0.0253,0.0,0.0697,equivalent
whisper_L2,ə,0.0182,0.0165,0.0543,0.0,0.0697,equivalent
whisper_L2,ɛ,0.0093,0.0077,0.0164,0.0,0.0697,equivalent
whisper_L5,a,0.0396,0.019,0.0756,0.0,0.3974,equivalent
whisper_L5,e,0.0406,0.0233,0.0874,0.0,0.3974,equivalent
whisper_L5,i,0.0169,0.0103,0.0394,0.0,0.3974,equivalent
whisper_L5,o,0.0427,0.0214,0.1043,0.0,0.3974,equivalent
whisper_L5,u,0.0416,0.0277,0.0732,0.0,0.3974,equivalent
whisper_L5,y,0.0387,0.026,0.0765,0.0,0.3974,equivalent
whisper_L5,ø,0.0518,0.027,0.1164,0.0,0.3974,equivalent
whisper_L5,ɑ,0.0493,0.0238,0.1137,0.0,0.3974,equivalent
whisper_L5,ə,0.0623,0.0461,0.2197,0.0,0.3974,equivalent
whisper_L5,ɛ,0.05,0.0341,0.0899,0.0,0.3974,equivalent
xlsr_L3,a,0.0286,0.0212,0.0564,0.0,0.246,equivalent
xlsr_L3,e,0.0423,0.0272,0.082,0.0,0.246,equivalent
xlsr_L3,i,0.0399,0.0248,0.0762,0.0,0.246,equivalent
xlsr_L3,o,0.0364,0.0301,0.0721,0.0,0.246,equivalent
xlsr_L3,u,0.0283,0.019,0.0572,0.0,0.246,equivalent
xlsr_L3,y,0.0401,0.0271,0.0769,0.0,0.246,equivalent
xlsr_L3,ø,0.0433,0.0308,0.0861,0.0,0.246,equivalent
xlsr_L3,ɑ,0.0549,0.0337,0.1139,0.0,0.246,equivalent
xlsr_L3,ə,0.08,0.0702,0.198,0.0,0.246,equivalent
xlsr_L3,ɛ,0.0495,0.034,0.0887,0.0,0.246,equivalent
xlsr_L12,a,0.0206,0.0161,0.0394,0.0,0.2429,equivalent
xlsr_L12,e,0.0255,0.0196,0.051,0.0,0.2429,equivalent
xlsr_L12,i,0.0221,0.0149,0.043,0.0,0.2429,equivalent
xlsr_L12,o,0.0264,0.0229,0.0556,0.0,0.2429,equivalent
xlsr_L12,u,0.014,0.0105,0.0286,0.0,0.2429,equivalent
xlsr_L12,y,0.0247,0.0184,0.0494,0.0,0.2429,equivalent
xlsr_L12,ø,0.038,0.0287,0.0722,0.0,0.2429,equivalent
xlsr_L12,ɑ,0.0525,0.0323,0.1142,0.0,0.2429,equivalent
xlsr_L12,ə,0.0634,0.0518,0.1687,0.0,0.2429,equivalent
xlsr_L12,ɛ,0.0317,0.0241,0.056,0.0,0.2429,equivalent
xlsr_L21,a,0.0,0.0,0.0001,0.0,0.0001,equivalent
xlsr_L21,e,0.0002,0.0001,0.0003,0.0,0.0001,indeterminate
xlsr_L21,i,0.0001,0.0,0.0001,0.0,0.0001,equivalent
xlsr_L21,o,0.0001,0.0,0.0002,0.0,0.0001,indeterminate
xlsr_L21,u,0.0,0.0,0.0,0.0,0.0001,equivalent
xlsr_L21,y,0.0,0.0,0.0,0.0,0.0001,equivalent
xlsr_L21,ø,0.0001,0.0,0.0002,0.0,0.0001,indeterminate
xlsr_L21,ɑ,0.0001,0.0,0.0003,0.0,0.0001,indeterminate
xlsr_L21,ə,0.0,0.0,0.0001,0.0,0.0001,equivalent
xlsr_L21,ɛ,0.0,0.0,0.0001,0.0,0.0001,equivalent
